iter	Passed	Remaining
0	0	37
1	0	46
2	1	49
3	1	46
4	2	47
5	3	48
6	3	49
7	4	48
8	4	48
9	5	47
10	6	48
11	7	58
12	8	57
13	9	55
14	9	54
15	10	52
16	10	51
17	10	49
18	11	48
19	11	47
20	12	45
21	12	44
22	13	43
23	13	42
24	13	41
25	15	43
26	15	42
27	17	46
28	18	44
29	19	44
30	19	43
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	23	35
40	24	34
41	24	33
42	24	32
43	24	31
44	25	31
45	26	30
46	26	29
47	26	28
48	27	28
49	28	28
50	28	27
51	29	27
52	30	27
53	30	26
54	31	25
55	31	24
56	31	24
57	32	23
58	32	22
59	32	21
60	32	21
61	33	20
62	33	19
63	33	18
64	33	18
65	34	17
66	34	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	36	12
74	36	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	39	9
81	39	8
82	39	8
83	40	7
84	40	7
85	40	6
86	40	6
87	41	5
88	41	5
89	41	4
90	41	4
91	42	3
92	42	3
93	42	2
94	42	2
95	42	1
96	43	1
97	43	0
98	43	0
99	43	0
