iter	Passed	Remaining
0	54	54223
1	63	31536
2	63	21214
3	64	16030
4	64	12917
5	65	10848
6	66	9377
7	66	8231
8	68	7574
9	69	6859
10	71	6409
11	72	5998
12	73	5577
13	73	5206
14	74	4870
15	76	4694
16	78	4536
17	79	4351
18	80	4131
19	81	3993
20	82	3854
21	83	3717
22	86	3653
23	86	3535
24	88	3438
25	88	3316
26	89	3217
27	90	3129
28	90	3046
29	91	2969
30	92	2894
31	93	2830
32	94	2755
33	94	2677
34	96	2647
35	96	2591
36	97	2535
37	105	2659
38	105	2611
39	106	2565
40	107	2506
41	108	2468
42	109	2431
43	109	2384
44	111	2361
45	112	2323
46	112	2287
47	113	2254
48	114	2222
49	115	2191
50	116	2162
51	117	2133
52	117	2095
53	118	2079
54	119	2055
55	120	2028
56	121	2002
57	121	1980
58	122	1948
59	123	1936
60	124	1914
61	125	1895
62	125	1873
63	127	1858
64	128	1848
65	129	1829
66	129	1804
67	129	1779
68	130	1754
69	131	1746
70	132	1729
71	132	1707
72	132	1685
73	133	1665
74	133	1644
75	133	1624
76	133	1604
77	134	1585
78	134	1567
79	134	1549
80	135	1532
81	135	1514
82	135	1496
83	135	1480
84	135	1463
85	136	1448
86	137	1438
87	137	1423
88	137	1408
89	141	1428
90	141	1417
91	142	1403
92	143	1396
93	143	1386
94	144	1377
95	144	1363
96	145	1355
97	146	1345
98	146	1332
99	147	1326
100	147	1315
101	148	1309
102	150	1307
103	150	1299
104	151	1290
105	151	1280
106	152	1274
107	153	1268
108	154	1260
109	154	1250
110	155	1241
111	155	1231
112	157	1235
113	157	1227
114	158	1219
115	158	1210
116	159	1204
117	159	1195
118	160	1186
119	160	1177
120	160	1168
121	161	1159
122	161	1150
123	161	1142
124	161	1133
125	162	1125
126	162	1118
127	162	1110
128	163	1104
129	163	1096
130	164	1089
131	164	1082
132	164	1075
133	166	1074
134	166	1066
135	166	1059
136	167	1052
137	167	1045
138	167	1038
139	167	1031
140	168	1025
141	168	1018
142	168	1011
143	169	1004
144	169	998
145	169	992
146	169	985
147	170	979
148	170	973
149	170	968
150	171	962
151	171	956
152	171	951
153	172	946
154	172	941
155	173	936
156	173	930
157	173	925
158	173	919
159	174	914
160	174	908
161	174	903
162	174	898
163	175	893
164	175	888
165	175	883
166	176	878
167	176	874
168	177	871
169	177	866
170	177	862
171	178	861
172	179	857
173	181	859
174	181	855
175	181	850
176	182	846
177	182	842
178	182	837
179	183	834
180	183	830
181	183	825
182	184	821
183	184	817
184	184	813
185	184	809
186	185	805
187	185	801
188	185	797
189	186	793
190	186	789
191	186	785
192	187	782
193	187	778
194	187	774
195	187	770
196	188	767
197	188	763
198	188	760
199	189	756
200	189	752
201	189	749
202	190	745
203	190	742
204	190	740
205	191	736
206	191	733
207	191	730
208	192	727
209	192	723
210	192	720
211	193	717
212	193	714
213	193	711
214	193	707
215	194	705
216	195	703
217	195	700
218	195	697
219	195	694
220	196	691
221	196	688
222	196	685
223	196	682
224	197	679
225	197	676
226	197	673
227	198	670
228	198	667
229	198	665
230	199	662
231	199	659
232	199	656
233	199	654
234	200	651
235	200	649
236	200	646
237	201	643
238	201	641
239	201	638
240	201	635
241	202	633
242	202	630
243	202	628
244	203	626
245	203	624
246	203	621
247	204	619
248	204	616
249	204	614
250	204	611
251	205	609
252	205	606
253	206	607
254	207	604
255	207	602
256	207	600
257	207	597
258	208	595
259	208	592
260	208	590
261	208	588
262	209	586
263	209	583
264	209	581
265	209	579
266	210	576
267	212	579
268	212	577
269	212	575
270	213	573
271	214	573
272	214	570
273	214	568
274	215	566
275	215	564
276	215	563
277	216	562
278	216	560
279	217	558
280	217	556
281	217	554
282	218	553
283	218	551
284	219	549
285	219	547
286	219	545
287	219	543
288	220	541
289	220	539
290	220	537
291	220	535
292	221	533
293	221	531
294	221	530
295	222	528
296	222	526
297	222	524
298	222	522
299	223	520
300	223	518
301	223	516
302	223	515
303	224	513
304	224	511
305	224	509
306	224	507
307	225	505
308	225	504
309	225	502
310	225	500
311	226	499
312	226	497
313	226	495
314	227	494
315	227	492
316	228	491
317	228	491
318	229	489
319	229	487
320	229	486
321	230	484
322	230	483
323	231	482
324	231	480
325	231	479
326	232	477
327	232	476
328	232	474
329	232	472
330	233	471
331	233	469
332	233	468
333	234	466
334	234	465
335	234	463
336	236	465
337	237	464
338	237	462
339	237	461
340	238	460
341	238	458
342	238	457
343	238	455
344	239	454
345	239	452
346	239	451
347	239	449
348	240	448
349	240	446
350	240	445
351	241	443
352	241	442
353	241	440
354	241	439
355	242	437
356	242	436
357	242	435
358	243	433
359	243	432
360	243	431
361	243	429
362	244	428
363	244	427
364	244	425
365	245	424
366	245	423
367	245	422
368	246	420
369	246	419
370	246	418
371	246	416
372	247	415
373	247	414
374	247	413
375	248	411
376	248	410
377	248	409
378	248	407
379	249	406
380	249	405
381	249	403
382	249	402
383	250	401
384	251	401
385	251	399
386	251	398
387	251	397
388	252	396
389	252	394
390	252	393
391	253	392
392	253	391
393	253	389
394	253	388
395	254	387
396	254	386
397	254	385
398	254	383
399	255	382
400	255	381
401	255	380
402	255	379
403	256	377
404	256	376
405	256	375
406	256	374
407	257	373
408	257	372
409	257	371
410	258	370
411	258	369
412	258	368
413	259	366
414	259	366
415	260	365
416	260	364
417	260	362
418	260	361
419	261	360
420	261	359
421	261	358
422	262	357
423	262	356
424	262	355
425	263	354
426	263	353
427	263	352
428	264	351
429	264	350
430	264	349
431	264	348
432	265	347
433	265	346
434	266	345
435	266	344
436	266	343
437	267	342
438	267	342
439	268	341
440	268	340
441	268	339
442	269	338
443	269	337
444	269	336
445	270	335
446	270	334
447	270	333
448	271	332
449	271	331
450	271	330
451	272	329
452	272	328
453	272	327
454	273	327
455	273	326
456	274	325
457	274	324
458	274	323
459	275	323
460	275	322
461	276	321
462	276	320
463	276	319
464	277	318
465	277	317
466	277	316
467	277	315
468	278	314
469	278	314
470	278	313
471	279	312
472	279	311
473	279	310
474	280	309
475	280	309
476	281	308
477	281	307
478	281	306
479	282	305
480	282	304
481	282	303
482	283	303
483	283	302
484	283	301
485	284	300
486	284	299
487	284	298
488	284	297
489	285	296
490	285	296
491	285	295
492	286	294
493	286	293
494	286	292
495	287	291
496	287	290
497	287	290
498	289	290
499	290	290
500	290	289
501	290	288
502	291	287
503	291	286
504	291	285
505	291	284
506	292	283
507	292	283
508	292	282
509	292	281
510	293	280
511	293	279
512	293	278
513	294	277
514	294	277
515	294	276
516	294	275
517	295	274
518	295	273
519	295	272
520	295	272
521	296	271
522	296	270
523	297	269
524	297	269
525	297	268
526	298	267
527	298	266
528	298	265
529	298	264
530	299	264
531	299	263
532	299	262
533	299	261
534	300	260
535	300	259
536	300	259
537	300	258
538	301	257
539	301	256
540	301	255
541	301	255
542	302	254
543	302	253
544	302	252
545	303	251
546	303	251
547	304	250
548	304	250
549	304	249
550	305	249
551	306	248
552	306	247
553	306	246
554	306	246
555	307	245
556	307	244
557	307	243
558	308	243
559	308	242
560	308	241
561	309	240
562	309	240
563	309	239
564	309	238
565	310	237
566	310	237
567	310	236
568	311	235
569	311	234
570	311	234
571	311	233
572	312	232
573	315	233
574	315	233
575	315	232
576	315	231
577	316	230
578	316	230
579	316	229
580	317	228
581	317	227
582	317	227
583	318	226
584	318	225
585	318	225
586	319	224
587	319	224
588	320	223
589	320	222
590	320	222
591	321	221
592	321	220
593	321	220
594	322	219
595	322	218
596	322	217
597	323	217
598	323	216
599	323	215
600	324	215
601	324	214
602	324	213
603	325	213
604	325	212
605	325	211
606	325	211
607	326	210
608	326	209
609	326	208
610	327	208
611	327	207
612	327	206
613	328	206
614	328	205
615	328	204
616	328	204
617	329	203
618	329	202
619	329	202
620	330	201
621	330	200
622	330	200
623	332	200
624	332	199
625	333	199
626	333	198
627	334	197
628	334	197
629	334	196
630	335	195
631	335	195
632	335	194
633	335	193
634	336	193
635	337	192
636	337	192
637	337	191
638	337	190
639	338	190
640	338	189
641	338	188
642	338	188
643	339	187
644	340	187
645	340	186
646	341	186
647	341	185
648	341	184
649	342	184
650	342	183
651	342	183
652	343	182
653	343	181
654	343	181
655	343	180
656	344	180
657	345	179
658	345	178
659	345	178
660	346	177
661	346	176
662	346	176
663	346	175
664	347	174
665	347	174
666	348	173
667	348	173
668	348	172
669	348	171
670	349	171
671	349	170
672	349	169
673	350	169
674	350	168
675	350	168
676	350	167
677	351	166
678	351	166
679	351	165
680	351	164
681	352	164
682	352	163
683	352	162
684	352	162
685	353	161
686	353	161
687	354	160
688	354	160
689	354	159
690	355	158
691	355	158
692	356	157
693	357	157
694	358	157
695	358	156
696	358	156
697	359	155
698	359	154
699	359	154
700	360	153
701	360	153
702	360	152
703	361	151
704	361	151
705	361	150
706	362	150
707	362	149
708	362	148
709	363	148
710	363	147
711	363	147
712	364	146
713	364	145
714	364	145
715	365	145
716	366	144
717	366	143
718	366	143
719	367	142
720	367	142
721	367	141
722	368	141
723	368	140
724	368	139
725	368	139
726	369	138
727	369	138
728	370	137
729	370	137
730	370	136
731	371	135
732	371	135
733	371	134
734	372	134
735	372	133
736	373	133
737	374	132
738	374	132
739	374	131
740	374	131
741	375	130
742	375	129
743	375	129
744	376	128
745	376	128
746	376	127
747	377	127
748	377	126
749	378	126
750	378	125
751	378	124
752	379	124
753	379	123
754	380	123
755	380	122
756	381	122
757	381	121
758	381	121
759	382	120
760	382	120
761	382	119
762	383	119
763	383	118
764	383	117
765	384	117
766	384	116
767	384	116
768	385	115
769	385	115
770	385	114
771	386	114
772	386	113
773	387	113
774	387	112
775	388	112
776	389	111
777	389	111
778	389	110
779	389	109
780	390	109
781	390	108
782	390	108
783	390	107
784	391	107
785	391	106
786	391	106
787	392	105
788	392	104
789	392	104
790	392	103
791	393	103
792	393	102
793	393	102
794	393	101
795	394	101
796	394	100
797	394	99
798	395	99
799	395	98
800	395	98
801	396	97
802	396	97
803	396	96
804	397	96
805	398	95
806	398	95
807	399	94
808	399	94
809	399	93
810	400	93
811	400	92
812	400	92
813	400	91
814	401	91
815	401	90
816	401	89
817	402	89
